ID,テキスト,話してる人,次のID,グループ,画像
0,チュートリアルを開始します。,ポッド513,1,A,None
1,左スティックで移動が可能です。\nまた、Bボタンを押すとダッシュができます。,ポッド513,2,A,Text/SupplementTest
2,動作テストを行います。\nそれでは前方の目標地点へ移動してください。,ポッド513,None,A,None
3,異常なし。次へ進みます。,ポッド513,4,B,None
4,Aボタンでジャンプができます。\nもう一度押すと2段ジャンプが可能です。,ポッド513,5,B,Text/SupplementTest
5,Aボタンを長押しをすると、滑空をすることができます。,ポッド513,6,B,Text/SupplementTest
6,動作テストを行います。\n4回ジャンプをお願いします。,ポッド513,None,B,None
7,異常なし。次へ進みます。,ポッド513,9,C,None
8,Xボタンで弱攻撃、Yボタンで強攻撃ができます。,ポッド513,10,C,Text/SupplementTest
9,弱攻撃は攻撃の発生が速いのが特徴です。\n基本的にはこの攻撃で戦います。,ポッド513,11,C,Text/SupplementTest
10,強攻撃は攻撃の発生が遅い代わりにダメージが高いのが特徴です。\nまた、範囲が広いので大勢の敵に対しても有効です。,ポッド513,12,C,Text/SupplementTest
11,ほかにも様々な攻撃があります。\n空中攻撃やダッシュ攻撃、チャージ攻撃など…,ポッド513,13,C,Text/SupplementTest
12,とにかく動かしてみましょう。動作テストを行います。\n前方の敵を撃破してください。,ポッド513,None,C,None
13,素晴らしい。\n異常なしです。次へ進みます。,ポッド513,14,D,None
14,Bボタンを押すとダッシュができますが、実は回避もできます。,ポッド513,15,D,Text/SupplementTest
15,Bボタンを押した瞬間は回避状態となり、\n敵の攻撃を喰らいません。,ポッド513,16,D,Text/SupplementTest
16,また、敵の攻撃に合わせて回避に成功すると「ジャスト回避」となります。,ポッド513,17,D,Text/SupplementTest
17,ジャスト回避に成功すると無敵時間が延びたり、\n強力なジャスト回避攻撃を行うことができます。,ポッド513,18,D,Text/SupplementTest
18,早速実践で試してみましょう。動作テストを開始します。\nジャスト回避を3回成功させましょう。,ポッド513,None,D,None
19,お疲れ様です。これにてチュートリアルを終了します。,ポッド513,None,E,None
